bike_id,company,last_updated,lat,lon,saved_at,tractid
MVCN,razor,1618669260,38.9103575,-77.0074508,1618669431,11001008701
R9VO,razor,1618669260,38.9112126,-77.0030845,1618669431,11001008702
I6IC,razor,1618669260,38.9110675,-77.0064316,1618669431,11001008701
KP7T,razor,1618669260,38.9057616,-77.042653,1618669431,11001010700
F4NU,razor,1618669260,38.900136,-77.0466611,1618669431,11001010800
NM34,razor,1618669260,38.899792,-77.0457981,1618669431,11001010800
DQJE,razor,1618669260,38.8922275,-77.0450576,1618669431,11001980000
E143,razor,1618669260,38.8998666,-77.0092823,1618669431,11001004702
MZ9O,razor,1618669260,38.8996978,-77.0092925,1618669431,11001004702
WCLK,razor,1618669260,38.9051845,-77.0681601,1618669431,11001000202
MRDX,razor,1618669260,38.8877026,-77.0359166,1618669431,11001980000
DXZE,razor,1618669260,38.974974,-77.0169755,1618669431,11001001702
I4MW,razor,1618669260,38.9307565,-77.0728923,1618669431,11001000704
N806,razor,1618669260,38.8922328,-77.0397773,1618669431,11001010800
OENN,razor,1618669260,38.900734,-77.0507831,1618669431,11001005601
N259,razor,1618669260,38.9204541,-76.9958138,1618669431,11001009102
WANI,razor,1618669260,38.8924688,-77.0396031,1618669431,11001010800
CXTX,razor,1618669260,38.905172,-77.061195,1618669431,11001000102
V80P,razor,1618669260,38.9614983,-77.0280461,1618669431,11001001804
C0Y6,razor,1618669260,38.9615463,-77.02802,1618669431,11001001804
M8YX,razor,1618669260,38.9620385,-76.9996725,1618669431,11001009505
JVNL,razor,1618669260,38.933834,-77.0886106,1618669431,11001000804
GONG,razor,1618669260,38.9336286,-77.0857786,1618669431,11001000803
BRQE,razor,1618669260,38.9452875,-77.0647876,1618669431,11001001200
CE9I,razor,1618669260,38.944793,-77.0639336,1618669431,11001001200
P505,razor,1618669260,38.9438538,-77.0636356,1618669431,11001001200
V9F1,razor,1618669260,38.944796,-77.063971,1618669431,11001001200
ADQS,razor,1618669260,38.940326,-77.0162083,1618669431,11001002301
DHFW,razor,1618669260,38.9268206,-77.0270066,1618669431,11001003100
J5NM,razor,1618669260,38.9332855,-77.0571145,1618669431,11001001304
EMMP,razor,1618669260,38.9394595,-77.0852793,1618669431,11001001004
BI60,razor,1618669260,38.9574763,-77.0009123,1618669431,11001009507
UHUD,razor,1618669260,38.961583,-77.0280068,1618669431,11001001804
O3B8,razor,1618669260,38.9289051,-77.0327031,1618669431,11001002802
L2VD,razor,1618669260,38.9275015,-77.104013,1618669431,11001000904
B1YY,razor,1618669260,38.9287928,-77.0325948,1618669431,11001003000
LGPF,razor,1618669260,38.9290766,-77.0739781,1618669431,11001000704
PF1H,razor,1618669260,38.9275323,-77.103964,1618669431,11001000904
LD8H,razor,1618669260,38.9288078,-77.0324845,1618669431,11001003000
R1I3,razor,1618669260,38.928799,-77.0324198,1618669431,11001003000
TI1G,razor,1618669260,38.941745,-77.0149235,1618669431,11001002301
K50H,razor,1618669260,38.9367336,-77.0244035,1618669431,11001002503
CYJR,razor,1618669260,38.9282851,-76.9979928,1618669431,11001009201
IR6R,razor,1618669260,38.9051826,-77.0610236,1618669431,11001000102
ADG7,razor,1618669260,38.9417488,-77.0363505,1618669431,11001002504
SL4P,razor,1618669260,38.8817781,-77.0357523,1618669431,11001980000
QIV5,razor,1618669260,38.9125011,-77.0729956,1618669431,11001000202
VLT7,razor,1618669260,38.9149213,-77.0742055,1618669431,11001000300
K46Q,razor,1618669260,38.904266,-77.0487196,1618669431,11001005501
J64Y,razor,1618669260,38.8947555,-77.0099206,1618669431,11001980000
SKA4,razor,1618669260,38.8766443,-77.0068183,1618669431,11001007202
MA9Y,razor,1618669260,38.8763345,-77.0045571,1618669431,11001007201
B9NN,razor,1618669260,38.8762076,-77.0041691,1618669431,11001007201
SCHJ,razor,1618669260,38.874702,-76.9998975,1618669431,11001007201
ROSR,razor,1618669260,38.8967308,-77.0268503,1618669431,11001005802
JS8F,razor,1618669260,38.9106815,-77.0553296,1618669431,11001000102
EIW0,razor,1618669260,38.9166375,-77.0569448,1618669431,11001004100
GW0A,razor,1618669260,38.9127651,-77.0663731,1618669431,11001000202
GQFE,razor,1618669260,38.9553976,-77.0045321,1618669431,11001009508
NISG,razor,1618669260,38.9581513,-77.001762,1618669431,11001009505
RQKS,razor,1618669260,38.958138,-77.001808,1618669431,11001009505
CN9W,razor,1618669260,38.908124,-76.997157,1618669431,11001008803
SYKF,razor,1618669260,38.9085223,-76.9980815,1618669431,11001008803
QJHF,razor,1618669260,38.8762256,-77.0042063,1618669431,11001007201
UXFX,razor,1618669260,38.8744946,-77.0073456,1618669431,11001007201
GPCZ,razor,1618669260,38.8745901,-77.0028388,1618669431,11001007201
EP0B,razor,1618669260,38.9111895,-77.0030575,1618669431,11001008702
NOZK,razor,1618669260,38.886405,-77.0211255,1618669431,11001010202
HHXL,razor,1618669260,38.9617333,-77.0280398,1618669431,11001001804
OZB2,razor,1618669260,38.9616333,-77.0281008,1618669431,11001001804
VP4P,razor,1618669260,38.9417681,-77.0149386,1618669431,11001002301
T6O2,razor,1618669260,38.9409461,-77.0216465,1618669431,11001002400
OSCV,razor,1618669260,38.9386371,-77.0322535,1618669431,11001002504
V50F,razor,1618669260,38.9387156,-77.0322538,1618669431,11001002504
OGR9,razor,1618669260,38.9287613,-77.0323478,1618669431,11001003000
L1OH,razor,1618669260,38.9287888,-77.0324191,1618669431,11001003000
FD6M,razor,1618669260,38.9288768,-77.0332893,1618669431,11001002802
F60N,razor,1618669260,38.9056861,-77.0076995,1618669431,11001010601
I8IP,razor,1618669260,38.8998355,-77.0093628,1618669431,11001004702
D59E,razor,1618669260,38.8869718,-77.0211068,1618669431,11001010202
M6BC,razor,1618669260,38.9002906,-77.0337181,1618669431,11001010100
E12P,razor,1618669260,38.8853278,-77.0213423,1618669431,11001010202
ASMU,razor,1618669260,38.9346416,-77.057822,1618669431,11001001304
DHQD,razor,1618669260,38.9349521,-77.0739711,1618669431,11001001002
LBVB,razor,1618669260,38.9042605,-77.054726,1618669431,11001005503
D22Z,razor,1618669260,38.9271275,-77.0406873,1618669431,11001003901
F5LB,razor,1618669260,38.9332668,-77.0317841,1618669431,11001002900
JTX3,razor,1618669260,38.8952475,-77.0295235,1618669431,11001980000
MIPL,razor,1618669260,38.892295,-77.015405,1618669431,11001005900
IK2X,razor,1618669260,38.9053651,-77.0612155,1618669431,11001000102
IVZP,razor,1618669260,38.8985258,-77.0528858,1618669431,11001005602
G3V7,razor,1618669260,38.8842758,-76.9959665,1618669431,11001007000
GD6S,razor,1618669260,38.9254166,-77.0576403,1618669431,11001000502
LAVH,razor,1618669260,38.8954623,-77.0109843,1618669431,11001005900
J2MJ,razor,1618669260,38.8922265,-77.0333811,1618669431,11001980000
CHG1,razor,1618669260,38.8922348,-77.0333875,1618669431,11001980000
ILP8,razor,1618669260,38.8922946,-77.0334066,1618669431,11001980000
OREO,razor,1618669260,38.9110606,-77.0064095,1618669431,11001008701
I0EM,razor,1618669260,38.8768541,-77.0175663,1618669431,11001010201
IJ32,razor,1618669260,38.8944008,-77.0396078,1618669431,11001010800
H1GW,razor,1618669260,38.8922786,-77.0334265,1618669431,11001980000
Q2K3,razor,1618669260,38.920492,-76.9957201,1618669431,11001009102
BIRO,razor,1618669260,38.8677891,-76.9658135,1618669431,11001007604
KVPO,razor,1618669260,38.8677091,-76.9658556,1618669431,11001007604
F7AN,razor,1618669260,38.9013276,-77.041769,1618669431,11001010700
OB2G,razor,1618669260,38.9011956,-77.0419843,1618669431,11001010700
HQU6,razor,1618669260,38.9128461,-77.0223113,1618669431,11001004901
ARRX,razor,1618669260,38.91294,-77.0223716,1618669431,11001004901
EHT0,razor,1618669260,38.917477,-77.0321091,1618669431,11001004300
BPPU,razor,1618669260,38.9087943,-77.04328,1618669431,11001010700
SKAD,razor,1618669260,38.8833671,-76.9312691,1618669431,11001009904
IEA6,razor,1618669260,38.9014335,-76.9430725,1618669431,11001007803
J4RJ,razor,1618669260,38.9204558,-76.9957908,1618669431,11001009102
UNY7,razor,1618669260,38.917515,-77.0319405,1618669432,11001004401
M9CK,razor,1618669260,38.9120541,-77.0434043,1618669432,11001004202
I3OF,razor,1618669260,38.9088383,-77.0432673,1618669432,11001010700
S0W4,razor,1618669260,38.8936836,-76.9478593,1618669432,11001009603
JJRG,razor,1618669260,38.8902783,-76.93742,1618669432,11001007803
DBSF,razor,1618669260,38.8902488,-76.9374336,1618669432,11001007803
PAIJ,razor,1618669260,38.913597,-77.045932,1618669432,11001005502
TT8J,razor,1618669260,38.8962578,-77.0317316,1618669432,11001005802
KKNE,razor,1618669260,38.902739,-76.9363423,1618669432,11001007809
T1EK,razor,1618669260,38.8989723,-76.9339668,1618669432,11001007804
GL1G,razor,1618669260,38.9234618,-77.0435121,1618669432,11001003901
VYV5,razor,1618669260,38.906315,-77.0060841,1618669432,11001010601
EEXF,razor,1618669260,38.906597,-77.0271268,1618669432,11001005004
AWXH,razor,1618669260,38.9126226,-77.041797,1618669432,11001004202
K9LT,razor,1618669260,38.9081003,-76.9971685,1618669432,11001008803
KOJ0,razor,1618669260,38.908529,-76.9980973,1618669432,11001008803
LIMA,razor,1618669260,38.8922275,-77.0334241,1618669432,11001980000
JYRF,razor,1618669260,38.876524,-76.9320711,1618669432,11001007707
PRKU,razor,1618669260,38.8868861,-77.0213045,1618669432,11001010202
KWCN,razor,1618669260,38.9041501,-76.994654,1618669432,11001010602
EWFB,razor,1618669260,38.9013041,-77.0320588,1618669432,11001010100
JPCH,razor,1618669260,38.8874321,-77.0284688,1618669432,11001010202
BMGU,razor,1618669260,38.8874066,-77.0316748,1618669432,11001010202
E7KF,razor,1618669260,38.8922748,-77.0333653,1618669432,11001980000
